User ID,First Name,Last Name,Email,Competency,Competency ID,Average Score
16,Murielle,Balchen,mbalchenf@icq.com,Computer Anatomy,1,4.0
16,Murielle,Balchen,mbalchenf@icq.com,Data Types,2,3.0
16,Murielle,Balchen,mbalchenf@icq.com,Variables,3,0.0
16,Murielle,Balchen,mbalchenf@icq.com,Functions,4,3.0
16,Murielle,Balchen,mbalchenf@icq.com,Boolean Logic,5,0.0
16,Murielle,Balchen,mbalchenf@icq.com,Conditionals,6,1.5
16,Murielle,Balchen,mbalchenf@icq.com,Loops (For and While),7,2.0
16,Murielle,Balchen,mbalchenf@icq.com,Data Structures,8,0.0
16,Murielle,Balchen,mbalchenf@icq.com,Lists,9,1.0
16,Murielle,Balchen,mbalchenf@icq.com,Working with Files,11,4.0
16,Murielle,Balchen,mbalchenf@icq.com,Exception Handling,12,2.0
16,Murielle,Balchen,mbalchenf@icq.com,Quality Assurance (QA),13,0.0
16,Murielle,Balchen,mbalchenf@icq.com,Recursion,15,2.3333333333333335
16,Murielle,Balchen,mbalchenf@icq.com,Databases,16,3.0
